Structure(SMILES)	DTXCID
FC1(F)C(F)(F)C(C(C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID50653823
FC1(F)C(F)(F)C(Br)(F)C1(Br)F	DTXCID50322628
FC1(F)C(F)(F)C(Br)(F)C(F)(F)C(F)(F)C1(Br)F	DTXCID70782902
FC1(F)C(F)(F)C(Br)(C(F)(F)C1(F)F)C(F)(F)F	DTXCID50289722
FC1(F)C(F)(F)C(Br)(Br)C1(Br)F	DTXCID00896783
FC1(F)C(F)(F)C(=C(F)C(F)(F)C1(F)F)c1c(F)c(F)c(F)c(F)c1F	DTXCID20480865
FC1(F)C(F)(F)C(=C(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)F	DTXCID00399426
FC1(F)C(F)(F)[C@@](F)([C@@](F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID401513147
FC1(F)C(F)(F)[C@@](Cl)(F)[C@]1(Cl)F	DTXCID401521392
FC1(F)C(F)(F)[C@@](Cl)(F)[C@@]1(Cl)F	DTXCID201521396
FC1(F)C(F)(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F)C(F)(F)F	DTXCID70229064
FC1(F)C(F)(C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID10819185
FC1(F)C(F)(C(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C1(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID70819186
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID001323255
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID8016926
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID001517828
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID801513151
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID401518454
FC1(F)C(Cl)=C(I)C(F)(F)C1(F)F	DTXCID20456929
FC1(F)C(Cl)=C(F)C(F)(F)C1(F)F	DTXCID201021758
FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F	DTXCID7046704
FC1(F)C(C(F)(F)F)(C(F)(F)C1(F)F)C(F)(F)F	DTXCID2037849
FC1(F)C(C(F)(F)F)(C(F)(C(F)(F)F)C1(F)F)C(F)(F)F	DTXCID80838747
FC1(F)C(=C2/C(F)(F)C(F)(F)C2(F)F)/C(F)(F)C1(F)F	DTXCID20452820
FC1(F)C(=C2/C(F)(F)C(F)(F)C(F)(F)C2(F)F)\C(F)(F)C1(F)F	DTXCID30424715
FC1(F)C(=C(F)C1(F)F)C(F)(F)C(F)(F)F	DTXCID70462070
FC1(F)C(=C(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID80477372
FC1(F)C(=C(/F)F)\C(=C(\F)F)C1(F)F	DTXCID70460738
FC1(F)C(=C(/C(F)(F)F)C(F)(F)F)/C(F)(F)C1(F)F	DTXCID90405262
FC1(F)[C@]2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C@]2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID601506534
FC1(F)[C@]2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C@@]2(F)C(F)(F)C1(F)F	DTXCID601506558
