Structure(SMILES)	DTXSID	FW
CC[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)CC	DTXSID001033123	364.3232
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(Br)(F)F	DTXSID20335129	459.8530
FC(F)(C(I)C(F)(F)F)C(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID30896317	559.9895
FC(C(F)(F)C(F)(F)F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID80880120	438.0569
FC(F)(F)C(C(=O)OC)C(F)(F)F	DTXSID0073168	210.0745
O=S(=O)(OC(C)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101026979	1026.2965
C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90647766	826.5017
FC(F)(OC(F)(F)C(F)=O)OC(F)(F)F	DTXSID30920500	248.0282
FC(F)(C(F)(F)OC(F)(C(F)(F)OC(F)(C(=O)OCCC(C)(O)C#C)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID801032931	592.2018
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)P(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60556851	502.0374
FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID20892924	595.1006
Cc1csc(C)c1C1=C(c2c(C)csc2C)C(F)(F)C(F)(F)C1(F)F	DTXSID50578320	396.4135
O=C(OCC)C(CCCC(F)(F)C(F)(F)F)CCCCCCC=C	DTXSID101026981	358.3871
[O-]P([O-])(=O)OC(CCC(CC)CC)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10764767	556.2297
