Structure(SMILES)	DTXSID	FW
FC(F)(F)C1(OC(=O)CN1c1ccccc1)C(F)(F)F	DTXSID90497425	299.1692
FC(F)(CO[Si](C)(C)C)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60525002	322.2435
FC1(F)C(F)CC(F)(F)C1(F)F	DTXSID50880218	196.0661
FC(F)(C(F)(F)P(F)F)C(F)(F)C(F)(F)F	DTXSID001026990	287.9990
[Na+].[Na+].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(=O)(=O)N(CCCOP([O-])([O-])=O)CCC	DTXSID101032930	751.3004 (22.9892+705.3220+22.9892)
FC(F)(C(F)(F)C(F)F)C(F)(F)C=O	DTXSID20337466	230.0560
FC(F)(C(F)(F)OCC(O)=O)C(F)(F)C(F)(F)F	DTXSID50602255	294.0718
FC(F)(CCOC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID8062101	532.1929
[K+].[K+].[O-]c1ccc(cc1)C(c1ccc([O-])cc1)(C(F)(F)F)C(F)(F)F	DTXSID0067054	412.4098 (334.2143+39.0978+39.0978)
FC(F)(F)C1(OC=C(F)O1)C(F)(F)F	DTXSID30604434	226.0491
Oc1ccc(cc1)C(c1ccc(O)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID30368009	400.2632
O=S(=O)(NCCC[N+](C)(C)C)c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF)cc1	DTXSID201020693	705.4483
FC1(CC=C)C(=O)C(F)(F)C1(F)F	DTXSID50602250	200.1060
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCOC(=O)C(=C)C	DTXSID701027656	658.4321
CN(CC(F)(F)C(F)F)c1ccccc1	DTXSID00510795	221.1947
[Na+].FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC([O-])=O	DTXSID301033815	393.1593 (370.1701+22.9892)
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)CN	DTXSID10379835	349.0926
FC(F)(F)C(F)(c1ccc2nn[NH]c2c1)C(F)(F)F	DTXSID70896371	287.1370
FC(Oc1ccc(cc1)C(=C)C)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID80764092	714.2588
FC(F)(F)C(F)(CF)C(=O)OC	DTXSID001026964	192.0840
FC(F)(CCSCC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101032942	1016.4324
FC(c1nc(nc(F)n1)C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID70896376	435.0924
Cl.FC(F)(Oc1cc(cc(c1)OC(F)(F)C(F)F)C(O)CN)C(F)F	DTXSID20990358	405.6688 (369.2079+36.4609)
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NCCCCCCCCCCCC	DTXSID40226388	667.4638
FC(F)(C=C)C(F)C(F)(F)F	DTXSID201032652	178.0757
[Cl-].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N(CCOCCOCCOCCOCC[N+](C)(C)C)C(C)C	DTXSID301032512	839.0433 (803.5897+35.4535)
O=C(CC(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O)NCCCN(C)C	DTXSID901035990	980.4645
FC(F)(F)C(C(F)(F)C(=O)O)(C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID80850409	364.0609
FC(F)(Oc1cc(C)ccc1)C(F)F	DTXSID2061935	208.1528
Cl[Si](Cl)(Cl)CCC[N@](CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID4070871	702.7143
NCc1ccccc1C(F)(F)C(F)(F)F	DTXSID801022930	225.1585
F\C(F)=N/C(F)(F)C(F)(F)C(F)(F)F	DTXSID60707740	233.0351
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID70379912	524.0086
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCCCOC(=O)C(=C)C	DTXSID4070875	553.3361
FC(F)(CCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70379917	392.1140
[Na+].O=S([O-])(=O)c1ccccc1C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID401032696	638.2530 (22.9892+615.2638)
CC(=C)CC(O)(C(F)(F)F)C(F)(F)F	DTXSID90497440	222.1282
FC(F)(F)C1(Oc2cc(Br)c(Br)cc2O1)C(F)(F)F	DTXSID30841746	415.9094
FC1(F)C(F)(C(F)(F)C(F)(C(=O)O)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801034901	576.1016
FC1C(=O)C(F)C2(OC)OC1(OC)C(F)(F)C2(F)F	DTXSID90617606	294.1478
O=S(=O)(OCCCCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001026976	1054.3496
FC(=C)C(F)(F)C(F)(F)F	DTXSID30514307	164.0491
FC(F)(C(F)(F)C(F)(F)CCC(F)(F)F)[Si](Cl)(Cl)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)F	DTXSID60700296	593.1547
O=S(=O)(Oc1cccnc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID80478889	377.1836
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)CN	DTXSID60377826	249.0776
[Eu+3].CC1(C)C2CCC1(C)C(=O)[C-]2C(=O)C(F)(F)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(=O)[C-]1C(=O)C2(C)CCC1C2(C)C.FC(F)(F)C(F)(F)C(F)(F)C(=O)[C-]1C(=O)C2(C)CCC1C2(C)C	DTXSID10897307	1193.7097 (347.2491+151.9624+347.2491+347.2491)
[Mg+2].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S([O-])(=O)=O	DTXSID40380878	622.4883 (299.0922+299.0922+24.3039)
[Pr+3].FC(F)(C(/[O-])=C/C(=O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])C(F)(F)C(F)(F)F.FC(F)(F)C(F)(F)C(F)(F)C(/[O-])=C/C(=O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].FC(F)(F)C(F)(F)C(F)(F)C(/[O-])=C/C(=O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H]	DTXSID10897302	1053.5961 (304.2300+304.2300+140.9060+304.2300)
FC(F)(CCCCO)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60377821	292.1421
FC(F)(C(=O)CC(=O)OC)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60525027	320.1091
[Li+].FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID201032640	987.1922 (980.2518+6.9405)
O=S(=O)(N(CCCS(=O)(=O)[O-])C(CC[N+](C)(C)CC(O)CO)CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301032500	660.5173
FC(F)(C(F)(F)CCS)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20337446	480.1846
FC(F)(F)C(CC(=O)OC)(C(F)(F)F)C(F)(F)F	DTXSID10793012	292.0990
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID501026545	1290.2476
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C	DTXSID80454860	460.1303
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID50893500	2036.3963
O=C(Oc1cc(ccc1)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40763208	566.2603
[NH4+].[O-]S(=O)(=O)CC(O)CN(CCCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301033839	510.3940 (18.0379+492.3561)
OC(Cc1cccc(\C=C(/C#N)C#N)n1)(C(F)(F)F)C(F)(F)F	DTXSID50144165	335.2046
FC(F)(CS(=O)(=O)N(C)CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20881277	925.3430
[Na+].[Na+].FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOCCOCCOP(O)(O)=O	DTXSID401032684	728.1899 (682.2115+22.9892+22.9892)
FC(F)(OC(F)(F)C(F)(F)OC(F)(F)C(=O)O)C(F)(F)OC(F)(F)C(=O)O	DTXSID60381084	438.0781
FC(F)(C(Cl)(F)C(Cl)(F)F)C(Cl)(F)C(Cl)(F)C(F)(F)C(Cl)(F)C(Cl)(F)F	DTXSID10794342	536.7844
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID6067836	818.2114
FC(F)(c1ccc(cc1F)C(=O)O)C(F)(F)F	DTXSID101023175	258.1173
FC(F)(F)C(O)(C(F)(F)F)C(F)(F)F	DTXSID5073292	236.0358
OC(C[N+](C)(C)CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CS(=O)(=O)O	DTXSID801034975	931.5007
FC(F)(C(F)CCCCCCCC(F)(F)F)C(F)(F)S([O-])(=O)=O	DTXSID401026823	379.2878
Cc1ccccc1C(F)(C(F)(F)F)C(F)(F)F	DTXSID70896311	260.1514
FC1(F)C(F)(F)N(C(F)(F)F)C1(F)F	DTXSID70631345	233.0351
FC(F)(C(=N)\N=C(/N)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID90328947	407.1072
FC(F)(c1nc(nc(n1)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1)C(F)(F)C(F)(F)F	DTXSID30503655	493.1979
FC(=CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001036341	708.2064
[O-]S(=O)(=O)CCC[N+](C)(C)CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001035012	964.5014
FC(F)(c1ccc(cn1)C(=O)OCC)C(F)(F)C(F)(F)F	DTXSID10896032	319.1755
C[N+](C)(CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID101035158	900.3946
FC(F)(OCC(=O)OCC)C(F)(F)F	DTXSID801022992	222.1100
Cc1sc(C)cc1C1=C(F)C(F)(F)C(F)(F)C1(F)F	DTXSID001023039	304.2271
FC(F)(CCSC(=O)NCCC(=O)NCCCCC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901035976	694.4030
FC(C(F)(OCC)C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID90870315	414.1114
FC(F)(CC(O)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901034647	944.2422
FC(F)(F)C1([C@@H]([C@H]1/C=C(\C)C)C(=O)O)C(F)(F)F	DTXSID60912397	276.1756
C[N+](CCCS(=O)(=O)O)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCO	DTXSID801034963	937.4987
FC(F)C(F)(F)C(F)(F)COc1cccc(N)c1	DTXSID101023187	273.1750
FC(F)(C(F)F)c1ncn[NH]1	DTXSID901022640	169.0803
Fc1c(cc(F)c(F)c1F)C(F)(F)C(F)(F)F	DTXSID30568103	268.0792
CC(F)(C(F)(F)C(F)(F)F)S(=O)(=O)O	DTXSID401026835	246.1282
CCOC(=O)C(=C)S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10896037	366.2007
FC(F)(C(F)(F)COC(=O)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID90544246	718.1781
O=C(C)OC(C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)[N+](C)(C)CC([O-])=O	DTXSID001036353	681.3381
FC(F)(CCCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90895629	332.1629
FC(F)(F)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00451977	532.1466
Brc1cc(ccc1N=C([O-])C(F)(C(F)(F)F)C(F)(F)F)[N+]([O-])=O.CCC[N+](CCC)(CCC)CCC	DTXSID40909826	598.3927 (186.3569+412.0358)
ClCc1ccc(cc1)C(F)(C(F)(F)F)C(F)(F)F	DTXSID70896316	294.5965
OC(CC(=O)OCC)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90895624	286.1441
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035160	699.3414
FC(F)(COCC1(C)COC1)C(F)(F)F	DTXSID40889179	234.1638
FC1(F)OC(OC1(F)F)(C(F)(F)F)C(F)(F)F	DTXSID7075260	282.0363
FC(F)(C(F)(F)C(=O)OC)C(F)(F)C(=O)OC	DTXSID20164754	268.1106
FC(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID40511569	271.0319
Brc1cc(cc(c1NC(=O)c1cccc(N(C)C(=O)c2ccccc2)c1F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID50894815	663.2773
O=C(CC(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O)NCCCN(C)C	DTXSID901035988	480.3895
O=C(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CS(=O)(=O)O	DTXSID901034659	856.2379
FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCC(F)(F)F	DTXSID401026809	555.2285
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCCCOC(=O)C(=C)C	DTXSID4070827	453.3211
FC(F)(c1cccc(n1)C(C)=O)C(F)(F)F	DTXSID101023199	239.1421
FC(F)(F)\C(=C/C(F)(F)F)C(F)(F)F	DTXSID20453498	232.0471
BrC(F)(C(=O)OC)C(F)(F)F	DTXSID60338290	238.9630
FC(F)(Oc1cccc(c1)OC(F)(F)C(F)(F)F)C(F)(F)F	DTXSID001023015	346.1216
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC=C)CC	DTXSID4070829	517.2543
FC(F)(F)C(F)(F)c1nc2c(cccc2[NH]1)C(N)=O	DTXSID901022676	279.1662
FC1(F)N(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXSID00189465	333.0501
COC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20893299	599.2607
[I-].FC(F)(C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(=O)NCCC[N+](C)(C)C	DTXSID301032550	656.1696 (126.9050+529.2645)
C[N+](CCCS(=O)(=O)O)(CCCNS(=O)(=O)C(F)(F)C(F)(F)F)CCO	DTXSID801034951	437.4236
[K+].FC1(S(=O)([O-])=O)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F	DTXSID901020018	450.2156 (411.1179+39.0978)
O=S(=O)(N[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50897068	477.2212
FC(F)(C(F)(F)C(O)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)F	DTXSID70896331	400.0849
FC(F)(F)C(F)(F)C(F)(F)C(Cc1cccc(c1)C#N)(C(F)(F)F)C(F)(F)F	DTXSID20549522	435.1834
OC(CNCCOC)(C(F)(F)F)C(F)(F)F	DTXSID70458953	255.1582
FC(F)(C(F)(F)CCO)C(F)(F)C(Cl)(F)F	DTXSID10542608	280.5435
CO[Si](CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC	DTXSID201032614	425.3202
FC(F)(C(N)=CC(=O)OC)C(F)(F)F	DTXSID90832079	219.1094
Clc1ccc(cc1)C1=CC(N=C(S1)c1ccccc1)(C(F)(F)F)C(F)(F)F	DTXSID70516406	421.7871
O=C(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CS(=O)(=O)O	DTXSID901034623	356.1628
C[N+](C)(C)CCCN(CCC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035172	570.3666
FC(F)C(F)(F)O	DTXSID50561292	118.0303
OC(CN(CCC[N+](C)(C)CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CS(=O)(=O)O	DTXSID801034949	1061.6145
FC(F)(F)C(F)(C=CC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID80748832	364.0791
FC(F)(C(F)(F)N=NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90827501	766.1153
FC(F)(CCP(=O)(O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30627108	528.0995
[Ag+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101032916	470.9211 (363.0535+107.8677)
FC1(F)C2(CCCCC2)C(O)(OCC)C1(F)F	DTXSID70932268	256.2372
FC(F)(C(F)OC(F)(F)C(F)(F)F)S(=O)(=O)O	DTXSID601026681	298.1085
FC(F)(CCC(O)C#N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID80848129	403.1400
O=C(N1CCCCC1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10896017	281.1706
FC(F)(C(=O)NCCCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10896012	419.1824
FC(F)(F)C(F)(F)C(F)(F)c1nc2c(C)c(cc(c2[NH]1)[N+]([O-])=O)[N+]([O-])=O	DTXSID00822305	390.1706
FC(F)(C(F)(F)O[SiH](C)C)C(F)(F)F	DTXSID401026811	244.1828
O=C(Nc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50187299	289.1496
FC(F)(C(F)(F)S(Cl)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70817586	402.5608
[Na+].FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C(CCCCCCCCCCCCCC)S(=O)(=O)[O-]	DTXSID20893294	672.5407 (649.5515+22.9892)
FC(SSSSC(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXSID10573790	466.3018
FC(F)(CCSCCCCS)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30896610	468.3409
O=[N+]([O-])c1ccc(cc1)C(F)(C(F)(F)F)C(F)(F)F	DTXSID70896336	291.1224
FC(F)(F)C(F)(F)N=C(F)C(F)(F)F	DTXSID70631325	233.0351
FC(F)(CC(I)CCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90895604	1574.1295
CCO[Si](OCC)(OCC)CCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID201032602	731.5368
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)OC(F)(C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)=O)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID30896615	1660.2192
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCOC(=O)CCCCCCCCCCCCCCCCC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID501026507	992.8175
FC(F)(CCSC(=O)NCCC(=O)NCCCCC(=O)O)C(F)(F)F	DTXSID901035964	394.3580
C[N+](C)(CCCN(CCC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID101035184	464.3536
FC(F)(c1ccc(CCC)cc1)C(F)(F)F	DTXSID50856559	238.1971
O=S(=O)(CNCCC[N+](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301032548	413.3229
O=C1NC(=O)NC=C1CC(F)C(F)(F)F	DTXSID00309681	226.1284
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl	DTXSID8034956	372.1456
FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)F.CC(C)[N+](C)(C)C(C)C	DTXSID90895609	429.3427 (299.0922+130.2506)
FC1(F)C(F)(F)C(F)(C(=O)Nc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)C(F)(F)C(F)(F)C1(F)F	DTXSID2073776	491.1704
C=CC(=O)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF	DTXSID80880206	586.1643
Clc1cc(c(Cl)cc1NC(=O)C(F)(C(F)(F)F)C(F)(F)F)[N+]([O-])=O	DTXSID2073772	403.0372
FC(F)(C(F)(F)OC(=O)/C=C/C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50897043	952.1732
FC(F)([13C](F)(F)[13C](=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001028089	616.0837
O=C(c1ccccc1)C(F)(F)C(F)(F)F	DTXSID80285772	224.1274
FC(F)(F)C(=N/c1ccccc1F)\C(F)(F)F	DTXSID00785047	259.1236
FC(F)(C(=O)CC(=O)\C=C(/C)C)C(F)(F)C(F)(F)F	DTXSID80285777	294.1661
FC1(F)CCC1(F)F	DTXSID20190836	128.0682
Fc1cc(/C=N/S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1	DTXSID50897048	389.2125
FC1(F)C(F)(F)C(F)(C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2Cl)C(F)(F)C(F)(F)C1(F)F	DTXSID2073778	538.9555
BrC(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50313490	659.1071
FC(F)C(F)(F)COC(=O)C(Cl)Cl	DTXSID70517872	242.9837
O=C1CCCCC1C(=O)C(F)(F)C(F)F	DTXSID601022996	226.1681
C[N+](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O	DTXSID301032574	550.2308
Cc1[NH]nc(c1Br)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10896072	329.0129
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID50615724	446.1285
