Structure(SMILES)	DSSTox_Structure_Id
FC(F)C(F)(F)C(F)(F)F	DTXCID5036717
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CCCC	DTXCID8036732
ClC(Cl)(Cl)C(F)(F)C(Cl)(F)F	DTXCID8036736
ClC(Cl)(Cl)C(F)(F)C(Cl)(Cl)F	DTXCID5036892
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC=C)CC	DTXCID3037175
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C=C	DTXCID2037263
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)F	DTXCID9037612
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID4037613
Oc1cc(ccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O	DTXCID4037617
FC1(F)C(F)(F)C(Cl)(Cl)C1(F)F	DTXCID3037622
FC(F)(CCS(Cl)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3037703
FC(F)(CCS(Cl)(=O)=O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3037707
FC(F)(CCS(Cl)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8037708
FC(F)(CCS(Cl)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3037709
FC(F)(CCS(Cl)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2037710
FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7037711
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID9037747
FC(F)(CCSC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID3037830
[NH4+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2037924
OP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5038040
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038075
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7038076
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC(O)=O)CC	DTXCID0038097
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0038124
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)CO	DTXCID7038236
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038237
FC(F)(C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7038238
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038239
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1038240
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)CO	DTXCID6038241
FC(F)(C(F)(F)COC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1038242
FC(F)(CCSC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID0038255
FC(F)(CCSC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID5038256
FC1(F)C(F)(F)C(F)C(F)(F)C(F)(F)C1(F)F	DTXCID4038261
[K+].FC1(S(=O)([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID6038295
FC(F)(C(=O)OCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6038297
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NC	DTXCID1038377
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID8038518
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID3038519
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3038692
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8038693
FC(F)(C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3038694
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC=C	DTXCID8038695
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)F)C(F)(F)CO	DTXCID3038696
FC(F)(C(F)(F)C(F)F)C(F)(F)C(F)(F)C(F)F	DTXCID4038712
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(=O)O	DTXCID9038713
FC(F)(N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID0038752
FC(F)(N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5038753
C=CC(F)(F)C(F)(F)I	DTXCID5038755
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1038828
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0038839
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CC	DTXCID3038854
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCO	DTXCID8038857
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CC	DTXCID3038858
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID0038910
FC(F)(I)C(F)(F)I	DTXCID0039013
FC(F)(F)C(F)(F)CI	DTXCID5039014
FC(F)(F)C(F)(F)C(N)=O	DTXCID0039015
FC(F)(F)C(F)(F)S(F)(=O)=O	DTXCID0039017
FC1(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID3039034
FC1(S(=O)(F)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID8039035
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID3039036
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8039037
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3039038
FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXCID8039039
FC1(F)C(F)(F)C(F)=C(F)C(F)(F)C1(F)F	DTXCID7039040
FC(F)(C(F)(F)C(F)F)C(F)(F)CO	DTXCID2039041
FC1(Cl)C(F)(F)C(Cl)(F)C1(F)F	DTXCID6039055
FC(F)(C(F)(F)C(=O)OC)C(F)(F)F	DTXCID1039056
FC(F)(C(=O)OCC)C(F)(F)C(F)(F)F	DTXCID6039057
FC(F)(C(=O)OOC(=O)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID1039058
FC(F)(F)C(F)(F)COC(=O)C=C	DTXCID6039059
FC1(F)ON(C(F)(F)C(F)(F)F)C1(F)F	DTXCID2039122
FC(Br)(Br)C(F)(F)C(Br)(Br)F	DTXCID5039197
FC(F)(CCSCCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID8039249
FC(F)(CCSCCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7039250
FC(F)(CCSCCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2039251
FC(F)(C(F)(F)F)C(F)(F)CI	DTXCID3039323
FC(F)(C(F)(F)F)C(F)(F)C#N	DTXCID7039339
FC(F)(C(F)(F)F)C(F)(F)CO	DTXCID6039340
FC(F)(C(F)(F)F)C(F)(F)OC	DTXCID1039341
FC(F)(C(F)(F)C(Cl)=O)C(F)(F)F	DTXCID6039342
FC(F)(C(F)(F)C(=O)O)C(F)(F)F	DTXCID1039343
FC(F)(C(F)(F)C(F)=O)C(F)(F)C(F)(F)F	DTXCID6039344
